"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Quality Power Electrical Equipments Limited","EQ","   425","QPOWER","14-FEB-2025","18-FEB-2025","Rs.401 to Rs.425","24-FEB-2025"
"Royal Arc Electrodes Limited","SME","120","ROYALARC","14-FEB-2025","18-FEB-2025","Rs.114 to Rs.120","24-FEB-2025"
"Tejas Cargo India Limited","SME","168","TEJASCARGO","14-FEB-2025","18-FEB-2025","Rs.160 to Rs.168","24-FEB-2025"
"Hexaware Technologies Limited","EQ","   708","HEXT","12-FEB-2025","14-FEB-2025","Rs.674 to Rs.708","19-FEB-2025"
"Maxvolt Energy Industries Limited","SME","180","MAXVOLT","12-FEB-2025","14-FEB-2025","Rs.171 to Rs.180","19-FEB-2025"
"P S Raj Steels Limited","SME","140","PSRAJ","12-FEB-2025","14-FEB-2025","Rs.132 to Rs.140","19-FEB-2025"
"Voler Car Limited","SME","90","VOLERCAR","12-FEB-2025","14-FEB-2025","Rs.85 to Rs.90","19-FEB-2025"
"Ajax Engineering Limited","EQ","   629","AJAXENGG","10-FEB-2025","12-FEB-2025","Rs.599 to Rs.629","17-FEB-2025"
"Chandan Healthcare Limited","SME","159","CHANDAN","10-FEB-2025","12-FEB-2025","Rs.151 to Rs.159","17-FEB-2025"
"Eleganz Interiors Limited","SME","130","ELGNZ","07-FEB-2025","11-FEB-2025","Rs.123 to Rs.130","14-FEB-2025"
"Readymix Construction Machinery Limited","SME","123","READYMIX","06-FEB-2025","10-FEB-2025","Rs.121 to Rs.123","13-FEB-2025"
"Ken Enterprises Limited","SME","94","KEN","05-FEB-2025","07-FEB-2025","Rs.94","12-FEB-2025"
"Chamunda Electrical Limited","SME","50","CHAMUNDA","04-FEB-2025","06-FEB-2025","Rs.47 to Rs.50","11-FEB-2025"
"Dr. Agarwal's Health Care Limited","EQ","   402","AGARWALEYE","29-JAN-2025","31-JAN-2025","Rs.382 to Rs.402","04-FEB-2025"
"Denta Water and Infra Solutions Limited","BE","   294","DENTA","22-JAN-2025","24-JAN-2025","Rs.279 to Rs.294","29-JAN-2025"
"Denta Water and Infra Solutions Limited","BE","   294","DENTA","22-JAN-2025","24-JAN-2025","Rs.279 to Rs.294","29-JAN-2025"
"Rexpro Enterprises Limited","SME","145","REXPRO","22-JAN-2025","24-JAN-2025","Rs.145","29-JAN-2025"
"EMA Partners India Limited","SME","124","EMAIN","17-JAN-2025","21-JAN-2025","Rs.117 to Rs.124","24-JAN-2025"
"Stallion India Fluorochemicals Limited","BE","    90","STALLION","16-JAN-2025","20-JAN-2025","Rs.85 to Rs.90","23-JAN-2025"
"Stallion India Fluorochemicals Limited","BE","    90","STALLION","16-JAN-2025","20-JAN-2025","Rs.85 to Rs.90","23-JAN-2025"
"Kabra Jewels Limited","SME","128","KKJEWELS","15-JAN-2025","17-JAN-2025","Rs.121 to Rs.128","22-JAN-2025"
"Laxmi Dental Limited","EQ","   428","LAXMIDENTL","13-JAN-2025","15-JAN-2025","Rs.407 to Rs.428","20-JAN-2025"
"Sat Kartar Shopping Limited","SME","81","SATKARTAR","10-JAN-2025","14-JAN-2025","Rs.77 to Rs.81","17-JAN-2025"
"Barflex Polyfilms Limited","SME","60","BARFLEX","10-JAN-2025","15-JAN-2025","Rs.57 to Rs.60","20-JAN-2025"
"Quadrant Future Tek Limited","EQ","   290","QUADFUTURE","07-JAN-2025","09-JAN-2025","Rs.275 to Rs.290","14-JAN-2025"
"Capital Infra Trust","IV","    99","CAPINVIT","07-JAN-2025","09-JAN-2025","Rs.99 to Rs.100","17-JAN-2025"
"Capital Infra Trust","IV","    99","CAPINVIT","07-JAN-2025","09-JAN-2025","Rs.99 to Rs.100","17-JAN-2025"
"Delta Autocorp Limited","SME","130","DELTIC","07-JAN-2025","09-JAN-2025","Rs.123 to Rs.130","14-JAN-2025"
"Standard Glass Lining Technology Limited","EQ","   140","SGLTL","06-JAN-2025","08-JAN-2025","Rs.133 to Rs.140 ","13-JAN-2025"
"Indo Farm Equipment Limited","EQ","   215","INDOFARM","31-DEC-2024","02-JAN-2025","Rs.204 to Rs.215 ","07-JAN-2025"
"Anya Polytech & Fertilizers Limited","SME","14","ANYA","26-DEC-2024","30-DEC-2024","Rs.13 to Rs.14","02-JAN-2025"
"Unimech Aerospace and Manufacturing Limited","EQ","   785","UNIMECH","23-DEC-2024","26-DEC-2024","Rs.745 to Rs.785 ","31-DEC-2024"
"Carraro India Limited","EQ","   704","CARRARO","20-DEC-2024","24-DEC-2024","Rs.668 to Rs.704 ","30-DEC-2024"
"Senores Pharmaceuticals Limited","EQ","   391","SENORES","20-DEC-2024","24-DEC-2024","Rs.372 to Rs.391","30-DEC-2024"
"Ventive Hospitality Limited","EQ","   643","VENTIVE","20-DEC-2024","24-DEC-2024","Rs.610 to Rs.643","30-DEC-2024"
"Sanathan Textiles Limited","EQ","   321","SANATHAN","19-DEC-2024","23-DEC-2024","Rs.305 to Rs.321","27-DEC-2024"
"Mamata Machinery Limited","BE","   243","MAMATA","19-DEC-2024","23-DEC-2024","Rs.230 to Rs.243","27-DEC-2024"
"Transrail Lighting Limited","EQ","   432","TRANSRAILL","19-DEC-2024","23-DEC-2024","Rs.410 to Rs.432","27-DEC-2024"
"Concord Enviro Systems Limited","EQ","   701","CEWATER","19-DEC-2024","23-DEC-2024","Rs.665 to Rs.701","27-DEC-2024"
"DAM Capital Advisors Limited","EQ","   283","DAMCAPITAL","19-DEC-2024","23-DEC-2024","Rs.269 to Rs.283","27-DEC-2024"
"Mamata Machinery Limited","BE","   243","MAMATA","19-DEC-2024","23-DEC-2024","Rs.230 to Rs.243","27-DEC-2024"
"NewMalayalam Steel Limited","SME","90","NMSTEEL","19-DEC-2024","23-DEC-2024","Rs.85 to Rs.90","27-DEC-2024"
"Identical Brains Studios Limited","SME","54","IDENTICAL","18-DEC-2024","20-DEC-2024","Rs.51 to Rs.54","26-DEC-2024"
"International Gemmological Institute (India) Limited","EQ","   417","IGIL","13-DEC-2024","17-DEC-2024","Rs.397 to Rs.417","20-DEC-2024"
"Inventurus Knowledge Solutions Limited","EQ","  1329","IKS","12-DEC-2024","16-DEC-2024","Rs.1265 to Rs.1329","19-DEC-2024"
"Vishal Mega Mart Limited","EQ","    78","VMM","11-DEC-2024","13-DEC-2024","Rs.74 to Rs.78","18-DEC-2024"
"One MobiKwik Systems Limited","EQ","   279","MOBIKWIK","11-DEC-2024","13-DEC-2024","Rs.265 to Rs.279","18-DEC-2024"
"Sai Life Sciences Limited","EQ","   549","SAILIFE","11-DEC-2024","13-DEC-2024","Rs.522 to Rs.549","18-DEC-2024"
"Supreme Facility Management Limited","SME","76","SFML","11-DEC-2024","13-DEC-2024","Rs.72 to Rs.76","18-DEC-2024"
"Purple United Sales Limited","SME","126","PURPLEUTED","11-DEC-2024","13-DEC-2024","Rs.121 to Rs.126","18-DEC-2024"
"Sammaan Capital Limited","N1","######","SCL19325A","09-DEC-2024","20-DEC-2024","Rs.1000","20-OCT-2025"
"Sammaan Capital Limited","N1","######","SCL19325A","09-DEC-2024","20-DEC-2024","Rs.1000","20-OCT-2025"
"Dhanlaxmi Crop Science Limited","SME","55","DHANLAXMI","09-DEC-2024","11-DEC-2024","Rs.52 to Rs.55","16-DEC-2024"
"IIFL Home Finance Limited","N0","######","8IHFL27","06-DEC-2024","19-DEC-2024","Rs.1000","07-AUG-2025"
"IIFL Home Finance Limited","N0","######","8IHFL27","06-DEC-2024","19-DEC-2024","Rs.1000","07-AUG-2025"
"Emerald Tyre Manufacturers Limited","SME","95","ETML","05-DEC-2024","09-DEC-2024","Rs.90 to Rs.95","12-DEC-2024"
"Suraksha Diagnostic Limited","EQ","   441","SURAKSHA","29-NOV-2024","03-DEC-2024","Rs.420 to Rs.441","06-DEC-2024"
"Ganesh Infraworld Limited","SME","83","GANESHIN","29-NOV-2024","03-DEC-2024","Rs.78 to Rs.83","06-DEC-2024"
"Agarwal Toughened Glass India Limited","SME","108","AGARWALTUF","28-NOV-2024","02-DEC-2024","Rs.105 to Rs.108","05-DEC-2024"
"Abha Power and Steel Limited","SME","75","ABHAPOWER","27-NOV-2024","29-NOV-2024","Rs.75","04-DEC-2024"
"Apex Ecotech Limited","SME","73","APEXECO","27-NOV-2024","29-NOV-2024","Rs.71 to Rs.73","04-DEC-2024"
"Rajputana Biodiesel Limited","SME","130","RAJPUTANA","26-NOV-2024","28-NOV-2024","Rs.123 to Rs.130","03-DEC-2024"
"C2C Advanced Systems Limited- Withdrawal Window","SME","-","C2CW","26-NOV-2024","29-NOV-2024","Rs.214 to Rs.226","-"
"Enviro Infra Engineers Limited","EQ","   148","EIEL","22-NOV-2024","26-NOV-2024","Rs.140 to Rs.148","29-NOV-2024"
"C2C Advanced Systems Limited","SME","226","C2C","22-NOV-2024","26-NOV-2024","Rs.214 to Rs.226","03-DEC-2024"
"Lamosaic India Limited","SME","200","LAMOSAIC","21-NOV-2024","26-NOV-2024","Rs.200","29-NOV-2024"
"NTPC Green Energy Limited","N0","######","701NGEL35","19-NOV-2024","22-NOV-2024","Rs.102 to Rs.108","13-NOV-2025"
"NTPC Green Energy Limited","N0","######","701NGEL35","19-NOV-2024","22-NOV-2024","Rs.102 to Rs.108","13-NOV-2025"
"Zinka Logistics Solutions Limited","EQ","   273","BLACKBUCK","13-NOV-2024","18-NOV-2024","Rs.259 to Rs.273","22-NOV-2024"
"ONYX BIOTEC LIMITED","SME","61","ONYX","13-NOV-2024","18-NOV-2024","Rs.58 to Rs.61","22-NOV-2024"
"Neelam Linens and Garments (India) Limited","SME","24","NEELAM","08-NOV-2024","12-NOV-2024","Rs.20 to Rs.24","18-NOV-2024"
"Niva Bupa Health Insurance Company Limited","EQ","    74","NIVABUPA","07-NOV-2024","11-NOV-2024","Rs.70 to Rs.74","14-NOV-2024"
"Swiggy Limited","EQ","   390","SWIGGY","06-NOV-2024","08-NOV-2024","Rs.371 to Rs.390","13-NOV-2024"
"ACME Solar Holdings Limited","EQ","   289","ACMESOLAR","06-NOV-2024","08-NOV-2024","Rs.275 to Rs.289","13-NOV-2024"
"Sagility India Limited","EQ","    30","SAGILITY","05-NOV-2024","07-NOV-2024","Rs.28 to Rs.30","12-NOV-2024"
"Afcons Infrastructure Limited","N0","######","84AIL28","25-OCT-2024","29-OCT-2024","Rs.440 to Rs.463","17-OCT-2025"
"Afcons Infrastructure Limited","N0","######","84AIL28","25-OCT-2024","29-OCT-2024","Rs.440 to Rs.463","17-OCT-2025"
"Usha Financial Services Limited","SME","168","USHAFIN","24-OCT-2024","28-OCT-2024","Rs.160 to Rs.168","31-OCT-2024"
"Godavari Biorefineries Limited","EQ","   352","GODAVARIB","23-OCT-2024","25-OCT-2024","Rs.334 to Rs.352","30-OCT-2024"
"Danish Power Limited","SME","380","DANISH","22-OCT-2024","24-OCT-2024","Rs.360 to Rs.380","29-OCT-2024"
"OBSC Perfection Limited","SME","100","OBSCP","22-OCT-2024","24-OCT-2024","Rs.95 to Rs.100","29-OCT-2024"
"United Heat Transfer Limited","SME","59","UHTL","22-OCT-2024","24-OCT-2024","Rs.56 to Rs.59","29-OCT-2024"
"Waaree Energies Limited","EQ","  1503","WAAREEENER","21-OCT-2024","23-OCT-2024","Rs.1427 to Rs.1503","28-OCT-2024"
"Deepak Builders & Engineers India Limited","EQ","   203","DBEIL","21-OCT-2024","23-OCT-2024","Rs.192 to Rs.203","28-OCT-2024"
"Premium Plast Limited","SME","49","PREMIUM","21-OCT-2024","23-OCT-2024","Rs.46 to Rs.49","28-OCT-2024"
"Freshara Agro Exports Limited","SME","116","FRESHARA","17-OCT-2024","21-OCT-2024","Rs.110 to Rs.116","24-OCT-2024"
"Lakshya Powertech Limited","SME","180","LAKSHYA","16-OCT-2024","18-OCT-2024","Rs.171 to Rs.180","23-OCT-2024"
"Hyundai Motor India Limited","EQ","  1960","HYUNDAI","15-OCT-2024","17-OCT-2024","Rs.1865 to Rs.1960","22-OCT-2024"
"UGRO Capital Limited","DEBT","  1000","UGROD5","10-OCT-2024","18-OCT-2024","Rs.1000","28-APR-2025"
"UGRO Capital Limited","DEBT","  1000","UGROD5","10-OCT-2024","18-OCT-2024","Rs.1000","28-APR-2025"
"Pranik Logistics Limited","SME","77","PRANIK","10-OCT-2024","14-OCT-2024","Rs.73 to Rs.77","17-OCT-2024"
"Garuda Construction and Engineering Limited","EQ","    95","GARUDA","08-OCT-2024","10-OCT-2024","Rs.90 to Rs.95","15-OCT-2024"
"Paramount Dye Tec Limited","SME","117","PARAMOUNT","30-SEP-2024","03-OCT-2024","Rs.111 to Rs.117","08-OCT-2024"
"Saj Hotels Limited","SME","65","SAJHOTELS","27-SEP-2024","01-OCT-2024","Rs.65","07-OCT-2024"
"Hvax Technologies Limited","SME","458","HVAX","27-SEP-2024","01-OCT-2024","Rs.435 to Rs.458","07-OCT-2024"
"Diffusion Engineers Limited","BE","   168","DIFFNKG","26-SEP-2024","30-SEP-2024","Rs.159 to Rs.168","04-OCT-2024"
"Diffusion Engineers Limited","BE","   168","DIFFNKG","26-SEP-2024","30-SEP-2024","Rs.159 to Rs.168","04-OCT-2024"
"Sahasra Electronic Solutions Limited","SME","283","SAHASRA","26-SEP-2024","30-SEP-2024","Rs.269 to Rs.283","04-OCT-2024"
"Divyadhan Recycling Industries Limited","SME","64","DIVYADHAN","26-SEP-2024","30-SEP-2024","Rs.60 to Rs.64","04-OCT-2024"
"Forge Auto International Limited","SME","108","FORGEAUTO","26-SEP-2024","30-SEP-2024","Rs.102 to Rs.108","04-OCT-2024"
"KRN Heat Exchanger and Refrigeration Limited","EQ","   220","KRN","25-SEP-2024","27-SEP-2024","Rs.209 to Rs.220","03-OCT-2024"
"Unilex Colours and Chemicals Limited","SME","87","UNILEX","25-SEP-2024","27-SEP-2024","Rs.82 to Rs.87","03-OCT-2024"
"Thinking Hats Entertainment Solutions Limited","SME","44","THESL","25-SEP-2024","27-SEP-2024","Rs.42 to Rs.44","03-OCT-2024"
"Techera Engineering (India) Limited","SME","82","TECHERA","25-SEP-2024","27-SEP-2024","Rs.75 to Rs.82","03-OCT-2024"
"Manba Finance Limited","BE","   120","MANBA","23-SEP-2024","25-SEP-2024","Rs.114 to Rs.120","30-SEP-2024"
"Manba Finance Limited","BE","   120","MANBA","23-SEP-2024","25-SEP-2024","Rs.114 to Rs.120","30-SEP-2024"
"Rappid Valves (India) Limited","SME","222","RAPPID","23-SEP-2024","25-SEP-2024","Rs.210 to Rs.222","30-SEP-2024"
"WOL 3D India Limited","SME","150","WOL3D","23-SEP-2024","25-SEP-2024","Rs.142 to Rs.150","30-SEP-2024"
"Phoenix Overseas Limited","SME","64","PHOGLOBAL","20-SEP-2024","24-SEP-2024","Rs.61 to Rs.64","27-SEP-2024"
"S D Retail Limited","SME","131","SDREAMS","20-SEP-2024","24-SEP-2024","Rs.124 to Rs.131","27-SEP-2024"
"Bikewo Green Tech Limited","SME","62","BIKEWO","20-SEP-2024","24-SEP-2024","Rs.59 to Rs.62","27-SEP-2024"
"Avi Ansh Textile Limited","SME","62","AVIANSH","20-SEP-2024","24-SEP-2024","Rs.62","27-SEP-2024"
"Kalana Ispat Limited","SME","66","KALANA","19-SEP-2024","23-SEP-2024","Rs.66","26-SEP-2024"
"Paramount Speciality Forgings Limited","SME","59","PSFL","17-SEP-2024","20-SEP-2024","Rs.57 to Rs.59","25-SEP-2024"
"Arkade Developers Limited","EQ","   128","ARKADE","16-SEP-2024","19-SEP-2024","Rs.121 to Rs.128","24-SEP-2024"
"Northern Arc Capital Limited","EQ","   263","NORTHARC","16-SEP-2024","19-SEP-2024","Rs.249 to Rs.263","24-SEP-2024"
"Pelatro Limited","SME","200","PELATRO","16-SEP-2024","19-SEP-2024","Rs.190 to Rs.200","24-SEP-2024"
"Osel Devices Limited","SME","160","OSELDEVICE","16-SEP-2024","19-SEP-2024","Rs.155 to Rs.160","24-SEP-2024"
"Western Carriers (India) Limited","EQ","   172","WCIL","13-SEP-2024","19-SEP-2024","Rs.163 to Rs.172","24-SEP-2024"
"Deccan Transcon Leasing Limited","SME","108","DECCANTRAN","13-SEP-2024","19-SEP-2024","Rs.102 to Rs.108","24-SEP-2024"
"Envirotech Systems Limited","SME","56","ENVIRO","13-SEP-2024","19-SEP-2024","Rs.53 to Rs.56","24-SEP-2024"
"Excellent Wires and Packaging Limited","SME","90","EXCELLENT","11-SEP-2024","13-SEP-2024","Rs.90","19-SEP-2024"
"Innomet Advanced Materials Limited","SME","100","INNOMET","11-SEP-2024","13-SEP-2024","Rs.100","18-SEP-2024"
"P N Gadgil Jewellers Limited","EQ","   480","PNGJL","10-SEP-2024","12-SEP-2024","Rs.456 to Rs.480","17-SEP-2024"
"SPP Polymer Limited","SME","59","SPPPOLY","10-SEP-2024","12-SEP-2024","Rs.59","17-SEP-2024"
"Tolins Tyres Limited","BE","   226","TOLINS","09-SEP-2024","11-SEP-2024","Rs.215 to Rs.226","16-SEP-2024"
"Bajaj Housing Finance Limited","EQ","    70","BAJAJHFL","09-SEP-2024","11-SEP-2024","Rs.66 to Rs.70","16-SEP-2024"
"Kross Limited","EQ","   240","KROSS","09-SEP-2024","11-SEP-2024","Rs.228 to Rs.240","16-SEP-2024"
"Tolins Tyres Limited","BE","   226","TOLINS","09-SEP-2024","11-SEP-2024","Rs.215 to Rs.226","16-SEP-2024"
"Gajanand International Limited","SME","36","GAJANAND","09-SEP-2024","11-SEP-2024","Rs.36","16-SEP-2024"
"Aditya Ultra Steel Limited","SME","62","AUSL","09-SEP-2024","11-SEP-2024","Rs.59 to Rs.62","16-SEP-2024"
"Shubhshree Biofuels Energy Limited","SME","119","SHUBHSHREE","09-SEP-2024","11-SEP-2024","Rs.113 to Rs.119","16-SEP-2024"
"Sammaan Capital Limited","N1","######","SCL19325A","06-SEP-2024","19-SEP-2024","Rs.1000","20-OCT-2025"
"Sammaan Capital Limited","N1","######","SCL19325A","06-SEP-2024","19-SEP-2024","Rs.1000","20-OCT-2025"
"Vision Infra Equipment Solutions Limited","SME","163","VIESL","06-SEP-2024","10-SEP-2024","Rs.155 to Rs.163","13-SEP-2024"
"Shree Tirupati Balajee Agro Trading Company Limited","BE","    83","BALAJEE","05-SEP-2024","09-SEP-2024","Rs.78 to Rs.83","12-SEP-2024"
"Shree Tirupati Balajee Agro Trading Company Limited","BE","    83","BALAJEE","05-SEP-2024","09-SEP-2024","Rs.78 to Rs.83","12-SEP-2024"
"My Mudra Fincorp Limited","SME","110","MYMUDRA","05-SEP-2024","09-SEP-2024","Rs.104 to Rs.110","12-SEP-2024"
"Adani Enterprises Limited","NA","  1000","AEL17725","04-SEP-2024","06-SEP-2024","Rs.1000","21-JUL-2025"
"Adani Enterprises Limited","NA","  1000","AEL17725","04-SEP-2024","06-SEP-2024","Rs.1000","21-JUL-2025"
"Namo eWaste Management Limited","SME","85","NAMOEWASTE","04-SEP-2024","06-SEP-2024","Rs.80 to Rs.85","11-SEP-2024"
"Gala Precision Engineering Limited","BE","   529","GALAPREC","02-SEP-2024","04-SEP-2024","Rs.503 to Rs.529","09-SEP-2024"
"Gala Precision Engineering Limited","BE","   529","GALAPREC","02-SEP-2024","04-SEP-2024","Rs.503 to Rs.529","09-SEP-2024"
"Jeyyam Global Foods Limited","SME","61","JEYYAM","02-SEP-2024","04-SEP-2024","Rs.59 to Rs.61","09-SEP-2024"
"Baazar Style Retail Limited","EQ","   389","STYLEBAAZA","30-AUG-2024","03-SEP-2024","Rs.370 to Rs.389","06-SEP-2024"
"Boss Packaging Solutions Limited","SME","66","BOSS","30-AUG-2024","03-SEP-2024","Rs.66","06-SEP-2024"
"Ecos (India) Mobility & Hospitality Limited","EQ","   334","ECOSMOBLTY","28-AUG-2024","30-AUG-2024","Rs.318 to Rs.334","04-SEP-2024"
"Aeron Composite Limited","SME","125","AERON","28-AUG-2024","30-AUG-2024","Rs.121 to Rs.125","04-SEP-2024"
"Premier Energies Limited","EQ","   450","PREMIERENE","27-AUG-2024","29-AUG-2024","Rs.427 to Rs.450","03-SEP-2024"
"Vdeal System Limited","SME","112","VDEAL","27-AUG-2024","29-AUG-2024","Rs.112","03-SEP-2024"
"Jay Bee Laminations Limited","SME","146","JAYBEE","27-AUG-2024","29-AUG-2024","Rs.138 to Rs.146","03-SEP-2024"
"Paramatrix Technologies Limited","SME","110","PARAMATRIX","27-AUG-2024","30-AUG-2024","Rs.110","04-SEP-2024"
"Indian Phosphate Limited","SME","99","IPHL","26-AUG-2024","29-AUG-2024","Rs.94 to Rs.99","03-SEP-2024"
"Orient Technologies Limited","BE","   206","ORIENTTECH","21-AUG-2024","23-AUG-2024","Rs.195 to Rs.206","28-AUG-2024"
"Orient Technologies Limited","BE","   206","ORIENTTECH","21-AUG-2024","23-AUG-2024","Rs.195 to Rs.206","28-AUG-2024"
"QVC Exports Limited","SME","86","QVCEL","21-AUG-2024","23-AUG-2024","Rs.86","28-AUG-2024"
"Ideal Technoplast Industries Limited","SME","121","IDEALTECHO","21-AUG-2024","23-AUG-2024","Rs.121","28-AUG-2024"
"Interarch Building Products Limited","EQ","   900","INTERARCH","19-AUG-2024","21-AUG-2024","Rs.850 to Rs.900","26-AUG-2024"
"Brace Port Logistics Limited","SME","80","BRACEPORT","19-AUG-2024","21-AUG-2024","Rs.76 to Rs.80","26-AUG-2024"
"Forcas Studio Limited","SME","80","FORCAS","19-AUG-2024","21-AUG-2024","Rs.77 to Rs.80","26-AUG-2024"
"Solve Plastic Products Limited","SME","91","BALCO","13-AUG-2024","16-AUG-2024","Rs.91","21-AUG-2024"
"Saraswati Saree Depot Limited","BE","   160","SSDL","12-AUG-2024","14-AUG-2024","Rs.152 to Rs.160","20-AUG-2024"
"Saraswati Saree Depot Limited","BE","   160","SSDL","12-AUG-2024","14-AUG-2024","Rs.152 to Rs.160","20-AUG-2024"
"Sunlite Recycling Industries Limited","SME","105","SUNLITE","12-AUG-2024","14-AUG-2024","Rs.100 to Rs.105","20-AUG-2024"
"Positron Energy Limited","SME","250","POSITRON","12-AUG-2024","14-AUG-2024","Rs.238 to Rs.250","20-AUG-2024"
"Aesthetik Engineers Limited","SME","58","AESTHETIK","08-AUG-2024","12-AUG-2024","Rs.55 to Rs.58","16-AUG-2024"
"Unicommerce eSolutions Limited","EQ","   108","UNIECOM","06-AUG-2024","08-AUG-2024","Rs.102 to Rs.108","13-AUG-2024"
"Brainbees Solutions Limited","EQ","   465","FIRSTCRY","06-AUG-2024","08-AUG-2024","Rs.440 to Rs.465","13-AUG-2024"
"Ola Electric Mobility Limited","EQ","    76","OLAELEC","02-AUG-2024","06-AUG-2024","Rs.72 to Rs.76","09-AUG-2024"
"Picturepost Studios Limited","SME","24","PPSL","02-AUG-2024","06-AUG-2024","Rs.22 to Rs.24","09-AUG-2024"
"Ceigall India Limited","EQ","   401","CEIGALL","01-AUG-2024","05-AUG-2024","Rs.380 to Rs.401","08-AUG-2024"
"Dhariwalcorp Limited","SME","106","DHARIWAL","01-AUG-2024","05-AUG-2024","Rs.102 to Rs.106","08-AUG-2024"
"Utssav CZ Gold Jewels Limited","SME","110","UTSSAV","31-JUL-2024","02-AUG-2024","Rs.104 to Rs.110","07-AUG-2024"
"Akums Drugs and Pharmaceuticals Limited","EQ","   679","AKUMS","30-JUL-2024","01-AUG-2024","Rs.646 to Rs.679","06-AUG-2024"
"Bulkcorp International Limited","SME","105","BULKCORP","30-JUL-2024","01-AUG-2024","Rs.100 to Rs.105","06-AUG-2024"
"Sathlokhar Synergys E&C Global Limited","SME","140","SSEGL","30-JUL-2024","01-AUG-2024","Rs.133 to Rs.140","06-AUG-2024"
"Ashapura Logistics Limited","SME","144","ASHALOG","30-JUL-2024","01-AUG-2024","Rs.136 to Rs.144","06-AUG-2024"
"Rajputana Industries Limited","SME","38","RAJINDLTD","30-JUL-2024","01-AUG-2024","Rs.36 to Rs.38","06-AUG-2024"
"Esprit Stones Limited","SME","87","ESPRIT","26-JUL-2024","30-JUL-2024","Rs.82 to Rs.87","02-AUG-2024"
"S A Tech Software India Limited","SME","59","SATECH","26-JUL-2024","30-JUL-2024","Rs.56 to Rs.59","02-AUG-2024"
"Aprameya Engineering Limited","SME","58","APRAMEYA","25-JUL-2024","29-JUL-2024","Rs.56 to Rs.58","01-AUG-2024"
"Trom Industries Limited","SME","115","TROM","25-JUL-2024","29-JUL-2024","Rs.110 to Rs.115","01-AUG-2024"
"Chetana Education Limited","SME","85","CHETANA","24-JUL-2024","26-JUL-2024","Rs.80 to Rs.85","31-JUL-2024"
"Manglam Infra and Engineering Limited","SME","56","MIEL","24-JUL-2024","26-JUL-2024","Rs.53 to Rs.56","31-JUL-2024"
"V L Infraprojects Limited","SME","42","VLINFRA","23-JUL-2024","25-JUL-2024","Rs.39 to Rs.42","30-JUL-2024"
"SAR Televenture Limited - FPO","SME","-","SARTELEFPO","22-JUL-2024","24-JUL-2024","Rs.200 to Rs.210","-"
"RNFI Services Limited","SME","105","RNFI","22-JUL-2024","24-JUL-2024","Rs.98 to Rs.105","29-JUL-2024"
"SMC Global Securities Limited","DEBT","-","SMCG01","19-JUL-2024","01-AUG-2024","Rs.1000","-"
"Sanstar Limited","EQ","    95","SANSTAR","19-JUL-2024","23-JUL-2024","Rs.90 to Rs.95","26-JUL-2024"
"SMC Global Securities Limited","DEBT","-","SMCG01","19-JUL-2024","01-AUG-2024","Rs.1000","-"
"Macobs Technologies Limited","SME","75","MACOBSTECH","16-JUL-2024","19-JUL-2024","Rs.71 to Rs.75","24-JUL-2024"
"Kataria Industries Limited","SME","96","KATARIA","16-JUL-2024","19-JUL-2024","Rs.91 to Rs.96","24-JUL-2024"
"Tunwal E-Motors Limited","SME","59","TUNWAL","15-JUL-2024","18-JUL-2024","Rs.59","23-JUL-2024"
"Prizor Viztech Limited","SME","87","PRIZOR","12-JUL-2024","16-JUL-2024","Rs.82 to Rs.87","22-JUL-2024"
"Sati Poly Plast Limited","SME","130","SATIPOLY","12-JUL-2024","16-JUL-2024","Rs.123 to Rs.130","22-JUL-2024"
"Sahaj Solar Limited","SME","180","SAHAJSOLAR","11-JUL-2024","15-JUL-2024","Rs.171 to Rs.180","19-JUL-2024"
"Ganesh Green Bharat Limited","SME","190","GGBL","05-JUL-2024","09-JUL-2024","Rs.181 to Rs.190","12-JUL-2024"
"Effwa Infra & Research Limited","SME","82","EFFWA","05-JUL-2024","09-JUL-2024","Rs.78 to Rs.82","12-JUL-2024"
"Ambey Laboratories Limited","SME","68","AMBEY","04-JUL-2024","08-JUL-2024","Rs.65 to Rs.68","11-JUL-2024"
"Bansal Wire Industries Limited","EQ","   256","BANSALWIRE","03-JUL-2024","05-JUL-2024","Rs.243 to Rs.256","10-JUL-2024"
"Emcure Pharmaceuticals Limited","EQ","  1008","EMCURE","03-JUL-2024","05-JUL-2024","Rs.960 to Rs.1008","10-JUL-2024"
"Nephro Care India Limited","SME","90","NEPHROCARE","28-JUN-2024","02-JUL-2024","Rs.85 to Rs.90","05-JUL-2024"
"Vraj Iron and Steel Limited","BE","   207","VRAJ","26-JUN-2024","28-JUN-2024","Rs.195 to Rs.207","03-JUL-2024"
"Vraj Iron and Steel Limited","BE","   207","VRAJ","26-JUN-2024","28-JUN-2024","Rs.195 to Rs.207","03-JUL-2024"
"Diensten Tech Limited","SME","100","DTL","26-JUN-2024","28-JUN-2024","Rs.95 to Rs.100","03-JUL-2024"
"Allied Blenders and Distillers Limited","EQ","   281","ABDL","25-JUN-2024","27-JUN-2024","Rs.267 to Rs.281","02-JUL-2024"
"Akiko Global Services Limited","SME","77","AKIKO","25-JUN-2024","27-JUN-2024","Rs.73 to Rs.77","02-JUL-2024"
